Method type,Name,Matches (column / source),Format or size,Tags / term applied
Dictionary,AWC Account Status,customers.account_status,4 values,Account Status
Dictionary,AWC Payment Status,monthly_usage.payment_status,4 values,Payment Status
Dictionary,AWC Customer Type,customers.customer_type,5 values,Customer Type
Dictionary,AWC Arizona Counties,customers.service_county / water_systems.county,15 values,"Location, Arizona County + term County"
Dictionary,AWC Water System Names,water_systems.system_name / customers.service_area_system,16 values,Water System + term Water System
Dictionary,AWC System Type,water_systems.system_type,3 values,System Type
Dictionary,AWC Water Source,water_systems.source_type / primary_source,8 values,Water Source
Dictionary,AWC Compliance Status,water_quality_reports.compliance_status,3 values,"Compliance, Compliance Status + term Compliance Status"
Dictionary,AWC Quality Rating,water_quality_reports.quality_rating,4 values,Quality Rating
Dictionary,AWC Contaminant Level,water_quality_reports.contaminant_level,4 values,Contaminant Level
Dictionary,AWC Alert Type,account_alerts.alert_type,7 values,Alert Type
Dictionary,AWC Severity,account_alerts.severity,4 values,Severity
Dictionary,AWC Workflow Status,account_alerts.status,3 values,Workflow Status
Dictionary,AWC Asset Type,asset_inventory.asset_type,11 values,Asset Type
Dictionary,AWC Asset Criticality,asset_inventory.criticality,4 values,Criticality
Dictionary,AWC Pipe Material,pipe_network_segments.material,9 values,Pipe Material
Dictionary,AWC Pipe Status,pipe_network_segments.status,4 values,Asset Status
Dictionary,AWC Drinking Water Contaminants,water_quality_reports.* / awc-documents,46 values,"Regulated Analyte, Compliance + term Drinking Water Contaminant"
Pattern,AWC Account Number,customers.account_number,"^AWC-[A-Z]{2,4}-\d{6}$","Account Number, Sensitive + term Customer Account"
Pattern,AWC Meter ID,monthly_usage.meter_id,^MTR-\d{6}$,Meter ID + term Meter ID
Pattern,AWC Asset ID,asset_inventory.asset_id,^AST-\d{4}$,Asset ID
Pattern,AWC Pipe Segment ID,pipe_network_segments.segment_id,^SEG-\d{5}$,Segment ID
Pattern,AWC Equipment Tag,"inspection documents (PS-012, T-03, BS-04)","^(PS|BS|WL|PRV|LS|TK|T)-\d{2,3}$",Equipment Tag
